window,gr_swaps,gr_volume,gr_price_delta,codex_events,codex_txns,codex_avg_volume,anomaly_flags
2026-01-11T00:00:00.000Z,3518,160.2745394492582,-2.23425978,4,134,8508.4021859005,"TX_MISMATCH: GR=3518 vs Codex=134;VOL_MISMATCH: GR=$160 vs Codex=$8508;PRICE_MISMATCH: GR=-2.23% vs Codex=0.02%"
2026-01-11T00:05:00.000Z,3545,0.003082624235764042,-2.44937844,21,269,6490.691666846068,"TX_MISMATCH: GR=3545 vs Codex=269;VOL_MISMATCH: GR=$0 vs Codex=$6491;PRICE_MISMATCH: GR=-2.45% vs Codex=0.24%"
2026-01-11T00:10:00.000Z,3575,78.11519432137797,-2.3580867,28,425,1694.8457208773325,"TX_MISMATCH: GR=3575 vs Codex=425;VOL_MISMATCH: GR=$78 vs Codex=$1695;PRICE_MISMATCH: GR=-2.36% vs Codex=0.12%"
2026-01-11T00:15:00.000Z,3656,0.5615078730179954,-2.0064254,56,2176,9054.497210417605,"TX_MISMATCH: GR=3656 vs Codex=2176;VOL_MISMATCH: GR=$1 vs Codex=$9054;PRICE_MISMATCH: GR=-2.01% vs Codex=0.57%"
2026-01-11T00:20:00.000Z,3709,1105.584525828627,-2.14019107,38,1120,4544.895550846527,"TX_MISMATCH: GR=3709 vs Codex=1120;VOL_MISMATCH: GR=$1106 vs Codex=$4545;PRICE_MISMATCH: GR=-2.14% vs Codex=0.23%"
2026-01-11T00:25:00.000Z,3745,17.999810898942794,-1.91850682,30,613,2792.471105300604,"TX_MISMATCH: GR=3745 vs Codex=613;VOL_MISMATCH: GR=$18 vs Codex=$2792;PRICE_MISMATCH: GR=-1.92% vs Codex=0.18%"
2026-01-11T00:30:00.000Z,3792,411.03255397758045,-1.77667931,28,760,9857.695096460046,"TX_MISMATCH: GR=3792 vs Codex=760;VOL_MISMATCH: GR=$411 vs Codex=$9858;PRICE_MISMATCH: GR=-1.78% vs Codex=0.36%"
2026-01-11T00:35:00.000Z,3811,22.391375139889906,-1.77039745,17,165,2450.1179106526993,"TX_MISMATCH: GR=3811 vs Codex=165;VOL_MISMATCH: GR=$22 vs Codex=$2450;PRICE_MISMATCH: GR=-1.77% vs Codex=0.10%"
2026-01-11T00:40:00.000Z,3840,0.04376046503294234,-1.7930311,24,368,4758.219722128124,"TX_MISMATCH: GR=3840 vs Codex=368;VOL_MISMATCH: GR=$0 vs Codex=$4758;PRICE_MISMATCH: GR=-1.79% vs Codex=0.06%"
2026-01-11T00:45:00.000Z,3922,154.36440658649252,-1.12943907,43,1502,8884.299565080713,"TX_MISMATCH: GR=3922 vs Codex=1502;VOL_MISMATCH: GR=$154 vs Codex=$8884;PRICE_MISMATCH: GR=-1.13% vs Codex=0.77%"
2026-01-11T00:50:00.000Z,3981,369.6794294405718,-1.26375479,40,1210,7173.065622069962,"TX_MISMATCH: GR=3981 vs Codex=1210;VOL_MISMATCH: GR=$370 vs Codex=$7173;PRICE_MISMATCH: GR=-1.26% vs Codex=0.30%"
2026-01-11T00:55:00.000Z,4005,3.9082354119511344,-1.46662148,21,253,4386.745465711151,"TX_MISMATCH: GR=4005 vs Codex=253;VOL_MISMATCH: GR=$4 vs Codex=$4387;PRICE_MISMATCH: GR=-1.47% vs Codex=0.21%"
2026-01-11T01:00:00.000Z,4062,99.97574128112218,-1.87910878,40,1227,11212.637403915249,"TX_MISMATCH: GR=4062 vs Codex=1227;VOL_MISMATCH: GR=$100 vs Codex=$11213;PRICE_MISMATCH: GR=-1.88% vs Codex=0.43%"
2026-01-11T01:05:00.000Z,4084,12.827047056031663,-1.80826328,16,198,3732.753268908565,"TX_MISMATCH: GR=4084 vs Codex=198;VOL_MISMATCH: GR=$13 vs Codex=$3733;PRICE_MISMATCH: GR=-1.81% vs Codex=0.15%"
2026-01-11T01:10:00.000Z,4119,24.209201056552608,-1.91517884,25,467,4397.486179709449,"TX_MISMATCH: GR=4119 vs Codex=467;VOL_MISMATCH: GR=$24 vs Codex=$4397;PRICE_MISMATCH: GR=-1.92% vs Codex=0.20%"
2026-01-11T01:15:00.000Z,4143,141.35862623787946,-1.83074701,19,232,4173.850512052746,"TX_MISMATCH: GR=4143 vs Codex=232;VOL_MISMATCH: GR=$141 vs Codex=$4174;PRICE_MISMATCH: GR=-1.83% vs Codex=0.13%"
2026-01-11T01:20:00.000Z,4186,12.42372589680777,-1.97552086,31,690,3515.9242048616625,"TX_MISMATCH: GR=4186 vs Codex=690;VOL_MISMATCH: GR=$12 vs Codex=$3516;PRICE_MISMATCH: GR=-1.98% vs Codex=0.19%"
2026-01-11T01:25:00.000Z,4197,0.00926301868911007,-1.86906086,8,47,1318.0331338079015,"TX_MISMATCH: GR=4197 vs Codex=47;VOL_MISMATCH: GR=$0 vs Codex=$1318;PRICE_MISMATCH: GR=-1.87% vs Codex=0.18%"
2026-01-11T01:30:00.000Z,4239,180.01250832475836,-2.1638719,33,741,6283.342453513244,"TX_MISMATCH: GR=4239 vs Codex=741;VOL_MISMATCH: GR=$180 vs Codex=$6283;PRICE_MISMATCH: GR=-2.16% vs Codex=0.35%"
2026-01-11T01:35:00.000Z,4263,145.84686811229074,-2.21157508,21,273,2283.6061213819557,"TX_MISMATCH: GR=4263 vs Codex=273;VOL_MISMATCH: GR=$146 vs Codex=$2284;PRICE_MISMATCH: GR=-2.21% vs Codex=0.07%"
2026-01-11T01:40:00.000Z,4314,89.2090170194081,-1.67969749,37,1024,6958.851897423171,"TX_MISMATCH: GR=4314 vs Codex=1024;VOL_MISMATCH: GR=$89 vs Codex=$6959;PRICE_MISMATCH: GR=-1.68% vs Codex=0.57%"
2026-01-11T01:45:00.000Z,4346,49.56978608379763,-1.59734378,26,464,4019.518480487684,"TX_MISMATCH: GR=4346 vs Codex=464;VOL_MISMATCH: GR=$50 vs Codex=$4020;PRICE_MISMATCH: GR=-1.60% vs Codex=0.10%"
2026-01-11T01:50:00.000Z,4379,293.7829253290807,-1.61450984,32,554,2672.5973192641077,"TX_MISMATCH: GR=4379 vs Codex=554;VOL_MISMATCH: GR=$294 vs Codex=$2673;PRICE_MISMATCH: GR=-1.61% vs Codex=0.07%"
2026-01-11T01:55:00.000Z,4436,296.1716882621764,-1.14478501,38,1154,8298.804968909326,"TX_MISMATCH: GR=4436 vs Codex=1154;VOL_MISMATCH: GR=$296 vs Codex=$8299;PRICE_MISMATCH: GR=-1.14% vs Codex=0.49%"
2026-01-11T02:00:00.000Z,4572,118.57357912653511,-1.01211425,69,4887,15123.696644338408,"TX_MISMATCH: GR=4572 vs Codex=4887;VOL_MISMATCH: GR=$119 vs Codex=$15124;PRICE_MISMATCH: GR=-1.01% vs Codex=0.61%"
2026-01-11T02:05:00.000Z,4614,0.0005113262253315572,-1.05238741,32,686,3915.763127180107,"TX_MISMATCH: GR=4614 vs Codex=686;VOL_MISMATCH: GR=$0 vs Codex=$3916;PRICE_MISMATCH: GR=-1.05% vs Codex=0.10%"
2026-01-11T02:10:00.000Z,4695,24.804617465424208,-0.73628196,49,1762,7406.445441366564,"TX_MISMATCH: GR=4695 vs Codex=1762;VOL_MISMATCH: GR=$25 vs Codex=$7406;PRICE_MISMATCH: GR=-0.74% vs Codex=0.50%"
2026-01-11T02:15:00.000Z,4859,36.10845884358815,-0.35548995,70,6545,19595.411679313078,"TX_MISMATCH: GR=4859 vs Codex=6545;VOL_MISMATCH: GR=$36 vs Codex=$19595;PRICE_MISMATCH: GR=-0.36% vs Codex=0.77%"
2026-01-11T02:20:00.000Z,4939,107.08361933281049,-0.14569335,56,2259,10650.84448941905,"TX_MISMATCH: GR=4939 vs Codex=2259;VOL_MISMATCH: GR=$107 vs Codex=$10651"
2026-01-11T02:25:00.000Z,5012,139.6357469962622,-0.12383667,47,1666,7044.520557527637,"TX_MISMATCH: GR=5012 vs Codex=1666;VOL_MISMATCH: GR=$140 vs Codex=$7045"
2026-01-11T02:30:00.000Z,5075,48.1843040919839,-0.34083559,41,1443,11804.221848278356,"TX_MISMATCH: GR=5075 vs Codex=1443;VOL_MISMATCH: GR=$48 vs Codex=$11804"
