Event,GR_ReceivedAt,GR_O,GR_H,GR_L,GR_C,GR_V,GR_TS,MB_ReceivedAt,MB_O,MB_H,MB_L,MB_C,MB_V,MB_TS,CX_ReceivedAt,CX_O,CX_H,CX_L,CX_C,CX_TS
1,11:44:33.887,1.0081,1.0081,1.0073,1.0073,0.53,2026-01-16T11:44:00Z,11:44:33.028,0.9874,0.9874,0.9865,0.9865,1734.11,11:44:00.000,11:44:36.648,0.9934,0.9941,0.9873,0.9873,11:44:35.000
2,11:45:30.875,1.0073,1.0065,1.0064,1.0065,0.49,2026-01-16T11:45:00Z,11:44:37.161,0.9874,0.9874,0.9862,0.9862,2015.02,11:44:00.000,11:45:04.304,0.9934,0.9941,0.9865,0.9865,11:45:01.000
3,11:45:37.059,1.0073,1.0067,1.0064,1.0067,0.61,2026-01-16T11:45:00Z,11:45:03.364,0.9862,0.9862,0.9856,0.9856,1463.40,11:45:00.000,11:45:31.116,0.9934,0.9941,0.9865,0.9866,11:45:29.000
4,11:45:56.633,1.0073,1.0070,1.0064,1.0070,0.78,2026-01-16T11:45:00Z,11:45:31.894,0.9862,0.9863,0.9856,0.9863,1629.98,11:45:00.000,11:45:35.094,0.9934,0.9941,0.9865,0.9867,11:45:33.000
5,11:46:29.480,1.0070,1.0071,1.0071,1.0071,0.05,2026-01-16T11:46:00Z,11:45:36.219,0.9862,0.9864,0.9856,0.9864,1735.82,11:45:00.000,11:45:36.723,0.9934,0.9941,0.9865,0.9868,11:45:35.000
6,11:46:30.406,1.0070,1.0071,1.0069,1.0069,0.16,2026-01-16T11:46:00Z,11:45:37.609,0.9862,0.9865,0.9856,0.9865,2016.71,11:45:00.000,11:45:56.790,0.9934,0.9941,0.9865,0.9871,11:45:55.000
7,11:46:56.685,1.0070,1.0072,1.0069,1.0071,0.45,2026-01-16T11:46:00Z,11:45:57.328,0.9862,0.9865,0.9856,0.9865,2516.66,11:45:00.000,11:46:17.414,0.9934,0.9941,0.9865,0.9872,11:46:15.000
8,11:47:11.295,1.0071,1.0072,1.0072,1.0072,0.04,2026-01-16T11:47:00Z,11:45:57.343,0.9862,0.9867,0.9856,0.9867,2585.14,11:45:00.000,11:46:29.833,0.9934,0.9941,0.9865,0.9871,11:46:27.000
9,11:48:00.453,1.0071,1.0073,1.0072,1.0073,0.09,2026-01-16T11:47:00Z,11:46:17.083,0.9867,0.9868,0.9867,0.9868,173.63,11:46:00.000,11:46:30.568,0.9934,0.9941,0.9865,0.9870,11:46:29.000
10,11:48:02.366,1.0071,1.0073,1.0072,1.0073,0.09,2026-01-16T11:47:00Z,11:46:28.799,0.9867,0.9868,0.9859,0.9859,278.69,11:46:00.000,11:46:34.808,0.9934,0.9941,0.9865,0.9870,11:46:33.000
