Event,GoldRush_ReceivedAt,GoldRush_DataTS,Mobula_ReceivedAt,Mobula_TradeTS,Mobula_Hash,Codex_ReceivedAt,Codex_DataTS
1,21:07:43.855,2026-01-14T21:07:23Z,21:07:42.897,21:07:41.000,0x91589d6eb74eb950e3e2b3f5714afca0f5955a7297a40baf2d31c99358704538,21:07:42.513,21:07:41.000
2,21:08:11.758,2026-01-14T21:08:09Z,21:08:10.707,21:08:09.000,0x2380edd254f07c584347f4b379bc0e190b610c3cab747c0ebceb49598eab6dd8,21:08:11.100,21:08:09.000
3,21:08:13.863,2026-01-14T21:08:11Z,21:08:10.920,21:08:09.000,0xbfeb11c5dca0fc0d6388c33043fe825041c7a3e54a6aa28866d50ce91501e073,21:08:12.958,21:08:11.000
4,21:08:14.768,2026-01-14T21:08:13Z,21:08:10.921,21:08:09.000,0xddb9f107ee73dec2eeff1c5e68aed9ce7fdb4d6fa471f7481db82acc310bb947,21:08:14.072,21:08:13.000
5,21:08:16.773,2026-01-14T21:08:15Z,21:08:12.940,21:08:11.000,0x71996cde6088a698a89bd4515ed148f0dd12dab6c00a8cdd60d79fcc48d60975,21:08:16.589,21:08:15.000
6,21:08:32.697,2026-01-14T21:08:31Z,21:08:13.150,21:08:11.000,0xd32b15c20de825ff1d515314efd815e262d6447aee73a0b6daf0c0586f737f27,21:08:26.586,21:08:25.000
7,21:08:38.956,2026-01-14T21:08:37Z,21:08:13.961,21:08:13.000,0x9287066aa9103ff85340ec07f0d9cacbbbb1ace7caf616d00d4a41a18d84c40f,21:08:32.216,21:08:31.000
8,21:08:43.264,2026-01-14T21:08:41Z,21:08:16.410,21:08:15.000,0xa184f7408e1ecfc3e3cb10b27a14aabdb0e29e56aa60790993258c5aebe48f7e,21:08:38.800,21:08:37.000
9,21:08:55.317,2026-01-14T21:08:53Z,21:08:27.158,21:08:25.000,0x495b0996c7dded7b6c5ef73f4223747c36ee9a252780fc11d4bba41ee7773b20,21:08:43.357,21:08:41.000
10,21:09:00.558,2026-01-14T21:08:55Z,21:08:32.773,21:08:31.000,0x0fa034d4215bb395b8c935f046a16d8db7b8279138caa0125382356005b55508,21:08:55.418,21:08:53.000
11,21:09:00.813,2026-01-14T21:08:59Z,21:08:38.908,21:08:37.000,0x5a154362162c9f504c6c3b025c7f7cda1938b043488f4c69c7af84fb493638df,21:08:56.229,21:08:55.000
12,21:09:42.210,2026-01-14T21:09:33Z,21:08:42.669,21:08:41.000,0x1c0547d3e77f4399c725017c005b53a0f72df0fe6e1d000a70e310400c78db78,21:09:03.581,21:08:59.000
13,21:09:55.667,2026-01-14T21:09:53Z,21:08:54.883,21:08:53.000,0x26fb5056aea4a18d3760dd3bd410c172b7c89813533ed7532a89fbbd2c76a10b,21:09:35.308,21:09:33.000
14,21:10:22.700,2026-01-14T21:10:21Z,21:08:55.088,21:08:53.000,0x8e537dc270643722e3471b69eeaa505632de39c9f36074dfc202bc5576a2fb85,21:09:55.076,21:09:53.000
15,21:10:27.039,2026-01-14T21:10:25Z,21:08:57.760,21:08:55.000,0x2c3eb4c412bce88a80c8671bd1f569cf4e404197cda7794866ffcb3fabcbfd8d,21:10:25.319,21:10:21.000
16,21:10:29.579,2026-01-14T21:10:23Z,21:09:01.547,21:08:59.000,0x2da9b27ee4d369b2d9caa7a3532d89aa2c3d1debbe32dfeac4323568037652e8,21:10:25.990,21:10:23.000
17,21:10:35.605,2026-01-14T21:10:31Z,21:09:35.114,21:09:33.000,0xc165f58da675f98636352b21240c915a9870ecaff01e5163f3992c7aaeabe5ea,21:10:27.128,21:10:25.000
18,21:10:39.656,2026-01-14T21:10:37Z,21:09:35.335,21:09:33.000,0xd8123229750d3f2a29301dcea0b3626a1e8f1feb92c67940a6f5782d17858fcb,21:10:33.764,21:10:31.000
19,21:10:41.301,2026-01-14T21:10:39Z,21:09:54.678,21:09:53.000,0x5d84e7273b7fcd7b42b8a008d928c04205361e5d571f394bc7dabca34a849c33,21:10:38.589,21:10:37.000
20,21:10:48.678,2026-01-14T21:10:45Z,21:10:22.205,21:10:21.000,0x26a35201e0e3573b9a4f324b3d40d87a9d5d2fd3e6265b5e37e83b1e2b6d6061,21:10:40.905,21:10:39.000
21,21:10:51.569,2026-01-14T21:10:49Z,21:10:26.019,21:10:23.000,0xce49490199c6be08400a10481da5b0f9d05e189f854396a950fc0c4efcbce241,21:10:46.587,21:10:45.000
22,21:10:57.840,2026-01-14T21:10:55Z,21:10:26.931,21:10:25.000,0xf0e2c6513f79f1dd2552e8134423cbe2b50f73b0d81c16d886633ee9363c2c3b,21:10:51.226,21:10:49.000
23,21:11:00.220,2026-01-14T21:10:57Z,21:10:33.673,21:10:31.000,0x10f69a7abbce9009ff08be59c9c006568e0e24c58431e431efc4f22007385e53,21:10:57.181,21:10:55.000
24,21:11:24.130,2026-01-14T21:11:19Z,21:10:38.269,21:10:37.000,0x9e8708c614e9bd494f12a04bbd069c6b2db53d9e2f15cf39110b9f2b257ed998,21:10:59.126,21:10:57.000
25,21:11:34.182,2026-01-14T21:11:33Z,21:10:40.878,21:10:39.000,0xeda04848a459dc594b87d47498ddeba7262647c54cf423d5ac703a41ddd2a6e4,21:11:21.092,21:11:19.000
26,21:12:01.508,2026-01-14T21:11:59Z,21:10:47.358,21:10:45.000,0xb97fd88e1423a8e2682d121fee42455844a08f053af51d98648a0fe727d49ccd,21:11:34.435,21:11:33.000
27,21:12:07.961,2026-01-14T21:12:05Z,21:10:50.982,21:10:49.000,0xd4c019d894f7361d18dcad69d4fe5aef4b06a1328ec304cf6d18a145b9188569,21:12:01.260,21:11:59.000
28,21:12:10.824,2026-01-14T21:12:09Z,21:10:57.374,21:10:55.000,0x8e316dc88bcb9f56dff734cfe5cfdf976a6a58a6e4967d9b6d8fc3130bacf87f,21:12:06.851,21:12:05.000
29,21:12:16.675,2026-01-14T21:12:11Z,21:10:58.625,21:10:57.000,0x9dd48c1f4616402a6578f31103a971e13325bdc64958c16ced0101e13bbf0e28,21:12:10.750,21:12:09.000
30,21:12:25.505,2026-01-14T21:12:23Z,21:11:21.201,21:11:19.000,0x748ba8212dba6391d5275857e0dd075997408f1af4ab6949e5ec9dd4e05159ed,21:12:12.710,21:12:11.000
31,21:12:52.797,2026-01-14T21:12:51Z,21:11:34.068,21:11:33.000,0x876661e32d1eb7a96014255a93ad453b71db16be5714d0242c6e200dac7fec34,21:12:24.971,21:12:23.000
32,21:12:58.716,2026-01-14T21:12:55Z,21:12:01.952,21:11:59.000,0x32fa0dd50b899a038dd97c21596ef56ea42c0651424df491df4242f467fb4be8,21:12:52.293,21:12:51.000
33,21:13:19.567,2026-01-14T21:13:17Z,21:12:02.162,21:11:59.000,0x30d6873b137dd8e81b6262b3d8221a984b1953af2abc4c3e053bc8a765fb9a7d,21:12:56.847,21:12:55.000
34,21:13:22.448,2026-01-14T21:13:19Z,21:12:07.244,21:12:05.000,0x33296c4acea25e5da2cea732bed1c7ba3b9929784e449cd6e910dd7c782fdc6a,21:13:18.723,21:13:17.000
35,21:13:28.192,2026-01-14T21:13:25Z,21:12:11.185,21:12:09.000,0x6c8401d7a5a298071443f2a07cb438639389253d0451bd414126fe19a0bd3054,21:13:20.715,21:13:19.000
36,21:13:35.954,2026-01-14T21:13:33Z,21:12:13.879,21:12:11.000,0xca52b2eaa4869e014aa6c978dcac271eb828193c2e97a429afb72e0b99bee7b0,21:13:38.679,21:13:25.000
37,21:13:38.668,2026-01-14T21:13:37Z,21:12:14.088,21:12:11.000,0x860ea58508d7abce8cecb3772e1c9306e57477a80ecdfc64348990dc7ba6f793,21:13:41.131,21:13:33.000
38,21:13:43.433,2026-01-14T21:13:41Z,21:12:24.628,21:12:23.000,0x40b0e9089915947d82dc4b6c8db0dc0a4998265f833cd9a8c167585783bcce14,21:13:41.668,21:13:37.000
39,21:13:46.670,2026-01-14T21:13:45Z,21:12:52.383,21:12:51.000,0x9fce38edd0819ff015d0a24e213e29a0c754e1d73d50c14f3046c907c7ce0f8e,21:13:43.421,21:13:41.000
40,21:13:51.414,2026-01-14T21:13:49Z,21:12:52.595,21:12:51.000,0x8a9152fc458ae13b8eb6b7edc1f97c33debd30225ed69ede80d2a34cf19bab10,21:13:46.802,21:13:45.000
41,21:13:52.637,2026-01-14T21:13:47Z,21:12:57.247,21:12:55.000,0x4e14c65f7a1d1f0635034c074ce514bb588ceb876e727c4b4a2d706f3add323a,21:13:49.292,21:13:47.000
42,21:13:54.130,2026-01-14T21:13:51Z,21:12:57.467,21:12:55.000,0xf457634020d4f9285f94fd6b759e51524b1397125ffc8f0fca05498ce51ce608,21:13:51.129,21:13:49.000
43,21:13:59.419,2026-01-14T21:13:57Z,21:12:57.467,21:12:55.000,0xc4aee7f16c01a04bf76e855b197e665e25b25baa5615c911c881a1124e2f66f7,21:13:53.303,21:13:51.000
44,21:14:03.367,2026-01-14T21:14:01Z,21:13:19.329,21:13:17.000,0x3804fdfe07908da96fdd41ef7f5aa5cde9c349f20c734c7100cadd20d4c7bfd4,21:13:58.587,21:13:57.000
45,21:14:05.421,2026-01-14T21:14:03Z,21:13:20.445,21:13:19.000,0x659670dd5eef1a7f366256618a642b3739d10d8293f3bfafaae9b3caa074fb6c,21:14:02.859,21:14:01.000
46,21:14:11.475,2026-01-14T21:14:09Z,21:13:29.136,21:13:25.000,0xcb54b879334bc4074d70215d123ef7bc649737b9ce736648a1d55302c99a3817,21:14:05.088,21:14:03.000
47,21:16:50.160,2026-01-14T21:14:45Z,21:13:29.346,21:13:25.000,0x25b2fc8d0607f26ece94af4a9f592abcd3d28f73f481ce03f5b76de81b7a1a88,21:14:10.459,21:14:09.000
48,21:16:50.254,2026-01-14T21:15:27Z,21:13:35.465,21:13:33.000,0x194bd895e0845fa1d17adc921e75fbe3c7b11eb2dd72b46313a3db1535158892,21:14:47.080,21:14:45.000
49,21:16:50.286,2026-01-14T21:15:13Z,21:13:40.280,21:13:37.000,0x71fd5cb7b65705707182fe2144004a512d1a4a657ccbeb63e772d9ecf5c1c3cf,21:15:04.822,21:15:03.000
50,21:16:50.286,2026-01-14T21:15:03Z,21:13:43.905,21:13:41.000,0x57b8603686442e4331a7f4f1f046e3b1931d12c77150b7b914fd241c16ea2252,21:15:15.002,21:15:13.000
51,21:16:50.294,2026-01-14T21:15:25Z,21:13:44.114,21:13:41.000,0x720ec79899cf51b24044f9da40732491cab4873239304deb8a930d2788561ddd,21:15:23.199,21:15:21.000
52,21:16:50.334,2026-01-14T21:15:29Z,21:13:47.028,21:13:45.000,0x2b2066648ceac5fd07f3facc057e0ee96a0052640bfd7c821b882e00e83aea59,21:15:24.895,21:15:23.000
53,21:16:50.409,2026-01-14T21:15:33Z,21:13:51.018,21:13:47.000,0x254056d284f9d8cf1da0e913c3c9ff069c6b44ba149a4c09f3af9455ff7dd293,21:15:27.075,21:15:25.000
54,21:16:50.474,2026-01-14T21:15:43Z,21:13:52.389,21:13:49.000,0x64a5999d0ea0d102a9f992bfab9a4535a158f56dc40c4f345aa2353e08f75bf8,21:15:28.648,21:15:27.000
55,21:16:50.475,2026-01-14T21:15:45Z,21:13:52.581,21:13:49.000,0xd49c4756da30505f9f3ff7d81264456017d91ae4fd5f8bb7a304b97b69caad08,21:15:31.565,21:15:29.000
56,21:16:50.479,2026-01-14T21:15:31Z,21:13:53.650,21:13:51.000,0x94eb99cd7c38daec61bd04ac05d3a1ce129300b904773aee81f7e35681368a94,21:15:32.691,21:15:31.000
57,21:16:50.505,2026-01-14T21:15:23Z,21:13:59.810,21:13:57.000,0xd053c6b09622b81de228bd936fd646d76401b2209cdedee8d89d2f78dafa9a9f,21:15:34.610,21:15:33.000
58,21:16:50.528,2026-01-14T21:15:41Z,21:14:04.992,21:14:01.000,0x57d5cfa76ef9acba66cbac017085b3f5e4710b66170fa738d5284ef83f97a468,21:15:42.773,21:15:41.000
59,21:16:50.531,2026-01-14T21:15:47Z,21:14:06.887,21:14:03.000,0xd1714c32d170c43da1ab52c7c9a3aad85d58a0a9fefd51dacf9e5f39e07ba21e,21:15:45.334,21:15:43.000
60,21:16:50.537,2026-01-14T21:15:49Z,21:14:07.088,21:14:03.000,0x8cde2e539bee9121b196a78036b390897e19d4298141743120c4a418ecba4f6b,21:15:46.488,21:15:45.000
61,21:16:50.572,2026-01-14T21:15:21Z,21:14:11.406,21:14:09.000,0xf9fb16cda51481013062a460eb277dc37e6139936a8053347f261b647b5bbda3,21:15:48.785,21:15:47.000
62,21:16:50.676,2026-01-14T21:16:37Z,21:14:11.622,21:14:09.000,0xf22d182bfee6b0271d2cb5d7e3085be6bfd8482f74d5e1386b729fcf31cfa38d,21:15:50.876,21:15:49.000
63,21:16:50.704,2026-01-14T21:16:21Z,21:14:11.622,21:14:09.000,0x4760123e4504e4cefba4be8a79f3c2b212c9f857eef764a4f7380a986eb2c4fc,21:16:07.736,21:16:05.000
64,21:16:50.794,2026-01-14T21:16:13Z,21:14:11.640,21:14:09.000,0x04f1c6dcf7aa55a8f172e7efb5db709013b45239b3e725cb4b677351f7ec9763,21:16:15.200,21:16:13.000
65,21:16:50.813,2026-01-14T21:16:05Z,21:14:46.894,21:14:45.000,0xb1ed5ebb7e1c056c4ab578b0e2d246a0ce08131c172aaaf5c8ba33185d691e50,21:16:23.387,21:16:21.000
66,21:16:50.920,2026-01-14T21:16:23Z,21:15:05.510,21:15:03.000,0x971134f4b9031269e8c068ad99e5cf109187b873bbd78cb5f3f4c0387f9c8b4c,21:16:25.276,21:16:23.000
67,21:16:51.010,2026-01-14T21:16:35Z,21:15:14.378,21:15:13.000,0x45438d1efea432d0a6a2f2b8863c227f6e192f08c7d1235bd2c401e9cbb64280,21:16:36.996,21:16:35.000
68,21:17:07.832,2026-01-14T21:17:03Z,21:15:23.420,21:15:21.000,0x9c212978e13d397c582a6b0cb95786ecdedafaeebd0bc8f94b0d7f31bb3e031a,21:16:38.519,21:16:37.000
69,21:17:28.342,2026-01-14T21:17:25Z,21:15:23.635,21:15:21.000,0x966e501a6895d43e2933766fede30ece2f16cd5c05f1b07c307ae2aef9c792ae,21:17:13.458,21:17:03.000
70,,,21:15:24.281,21:15:23.000,0x65255e6677024b971841c67267c0702e8838d49c600815b1d830965eeeb5087a,21:17:27.534,21:17:25.000
71,,,21:15:26.586,21:15:25.000,0x814f2aa924701df655dd96e5c78c149d237e9c3fc6c499674444ecec58ab883e,21:17:31.299,21:17:29.000
72,,,21:15:26.794,21:15:25.000,0x62045943b6591a7e9a50cec0227b0f732ffabf6b3fdb519c5c27120f6de73114,21:17:32.061,21:17:31.000
73,,,21:15:29.009,21:15:27.000,0xe0142f86b64fac8ceac9d57eeb0cc4aa64e562fec2bfe00e17fd03aef73fcbd1,,
74,,,21:15:31.479,21:15:29.000,0x9bc7f5c3ad040742416da2212e846be4f4e0fec04b1538f1f7fcefc42924366b,,
75,,,21:15:32.625,21:15:31.000,0x7ede6c65093d1e83c137f64b7615ae10a4378c92703bce66f0aa295f9a3ce93f,,
76,,,21:15:32.838,21:15:31.000,0x88f7ac0e5cfaacb7a402bda575a6a5c0c94c0acbaebc9aa240d8d05938f8bdad,,
77,,,21:15:32.838,21:15:31.000,0x490842dc699b7d52b1d29517ad056588478c9de3a1ae857ef0fa083495281433,,
78,,,21:15:32.845,21:15:31.000,0x1779327586fce7920f0b8059cf0a69b5edfe1c8ae67d62d3b31a5d9e0056f204,,
79,,,21:15:34.651,21:15:33.000,0x5e0ea1f9172a6fb38f3a2aa42fafefb6170a5e758d5460b2991fd53164cc4444,,
80,,,21:15:43.484,21:15:41.000,0x05bc4e958c65f5ba6cc3d1eb86d228dffeefa2af888693a3759f4961f277847d,,
81,,,21:15:43.690,21:15:41.000,0x0c786c5c5e6a6fd85ee54f29dd425af36d2e49af0d8f17d2bff869d43fb546be,,
82,,,21:15:44.449,21:15:43.000,0x4fb8c05fcf35303c4014a11c2d011f54176e2518de1092825133de055ed4a428,,
83,,,21:15:46.755,21:15:45.000,0x2dedd77d99a4b5bf7afb4a61ae8c41a9961b9014631143aa3a3ac5528a11660b,,
